Error type,Sentence 1,Sentence 2,Model score,Annotators scores
1,"Поручик, еще весь потрясенный непочтительностию, весь пылая и, очевидно, желая поддержать пострадавшую <b><i>амбицию</i></b>, набросился всеми перунами на несчастную ""пышную даму"", смотревшую на него, с тех самых пор как он вошел, с преглупейшею улыбкой. ","А может, Сталин думал уже о будущих совместных с Гитлером акциях по разделу глобальных сфер интересов Нельзя исключать подобные <b><i>амбиции</i></b> ""вождя народов"".",4,1 1 1
2,"Итак, чтобы покончить с этим предметом, прошу Вас, друг мой, никогда не опасаться задеть мою авторскую <b><i>амбицию</i></b>.","Разговор, конечно, бессмысленный и бесполезный, но наведший все на те же размышления: о Церкви, о Православии, о той мелочной и даже злобной каше интриг, самолюбий, <b><i>амбиций</i></b>, эгоцентризмов, в которой приходится в Церкви жить.",1,4 3 4
1,"Вестовой Лаврюшка и слышал, как старший офицер вломился в <b><i>амбицию</i></b> и пригрозил, что спишется по болезни с клипера на берег и возвратится в Россию.",Банкиры и сверхбогатые бизнесмены-олигархи уже открыто демонстрируют свои <b><i>амбиции</i></b>.,4,3 1 1
3,"Я припоминаю эти стишки, но не все: ""Вильде со скалкой, Садовский с палкой, Жандармы, полиция, Островский с <b><i>амбицией</i></b>"".","Говорун полез было в <b><i>амбицию</i></b>, но я показал ему указательный палец и засадил чистить лук.",4,1 2 3
1,"Скоро прибыли к нему <b><i>братья</i></b> его, Андрей и Борис, с их многочисленною дружиною: не было ни упреков, ни извинений, ни условий; единокровные обнялися с видом искренней любви, чтобы вместе служить отечеству и христианству.","Он говорил ей: ""Ты, <b><i>брат</i></b>"".",4,2 1 2
3,"Я, разумеется, не про ремесла говорю, не про технику, не про математические знания, -- этому и немцы заезжие по найму научат, если мы не научим, нет, а мы-то чему Мы ведь русские, <b><i>братья</i></b> этому народу, а стало быть, обязаны просветить его.",Их четыре <b><i>брата</i></b>.,1,2 4 3
2,"Он, как видно из его стихотворений, взялся за дело поэта по призванию; он сильно сочувствует вопросам своего времени, страдает всеми недугами <b><i>века</i></b>, болезненно мучится несовершенствами общества и сгорает нетщетно жаждою споспешествовать его совершенствованию и торжеству на земле истины, любви и братства.",Во второй половине прошлого <b><i>века</i></b> рытье колодцев было заменено бурением скважин.,1,4 3 4
1,"Государственная подать в IX и X <b><i>веке</i></b> состояла у нас более в вещах, нежели в деньгах.","Им казалось, что Тамань так и звалась испокон <b><i>веков</i></b>.",4,1 1 2
4,"Обычай, которого самовар составляет ядро и душу, занял место в самой средние нравов нашего <b><i>века</i></b> и привлекает к себе их частицы в целой суточной жизни человека.",Чего ты на своем <b><i>веку</i></b> видал Двор свой да поле.,1,4 3 3
1,Вадима Петровича начинало брать раздражение и на бывшего своего <b><i>дядьку</i></b>.,"-- Что за ярмарка -- Так День Нэзалэжности! -- отвечает <b><i>дядька</i></b> в национальном гуцульском костюме, с приклеенными усами.",4,1 1 1
3,"Возрас Александр, и по многих победах Аравию завоевав, прислал <b><i>дядьке</i></b> своему несколько сот возов ладону, написав ему: не будь скуп, где дело идет до Богопочтения.",Это был <b><i>дядька</i></b> средних лет в пятнистой робе.,1,4 2 4
1,"Взошел, шаркая костылем, дряхлый <b><i>дядька</i></b> Василия Иваныча, отставной камердинер Тихон.",-- Давай тогда искать твоего <b><i>дядьку</i></b>.,4,1 4 1
2,"На руках она с усилием тащила Федьку, прижав его поперек <b><i>живота</i></b>, чем он нисколько не смущался.","Боли в <b><i>животе</i></b> не то стали слабее, не то он к ним привык",1,"4, 4, 4"
1,"Он ничего не хотел делать без правды: ""Лучше воистину принять злому <b><i>животу</i></b> моему конец и вовеки свобод ну быть, нежели противно правды делати"".",У него был разодран <b><i>живот</i></b>.,4,1 1 1
2,"-- Боже, милостив буди мне, грешному! -- шептал он, умильно покачивая склоненной набок головой и крепко надавливая пальцами на лоб, на <b><i>живот</i></b> и плечи.",В <b><i>животе</i></b> у него постоянно урчало.,1,"4, 4, 4"
2,Тут в <b><i>кармане</i></b> тысяча рублев положена.,Вместо птиц он приносил домой целые <b><i>карманы</i></b> камней и сваливал их под навесом в ящик.,1,"4, 4, 4"
2,"От скуки, известно, полоумного всякий напоит, а он после этого, только встретит кого мало-мальски с мошной, -- сейчас руки в <b><i>карманы</i></b>, по-барскому, и пошумливает себе: ""Дорогу дай московскому первой гильдии купцу Афанасию Ларивону!","Радость -- неизменная спутница всякого нормального советского человека, временно покидающего свою свободную родину, -- была омрачена полным отсутствием в <b><i>карманах</i></b> даже самой мелкой французской монеты и неясностью ближайшего будущего.",1,"4, 4, 4"
2,"После маленького предисловия, вынул я из <b><i>кармана</i></b> свою тетрадку, и прочел ему следующие стишки: -- Как ты это находишь -- спросил я Швабрина, ожидая похвалы, как дани, мне непременно следуемой.","Волынский, Меерсон и все другие их единомышленники были убеждены, что мы уже попали в их <b><i>карманы</i></b>: сидели за обедом с довольными лицами, говорили с большим апломбом о невозможности приобрести хотя бы малую толику паев: ""Да кто же вам продаст Ведь это дело -- золотое дно!"" -- и т. д.",1,"3, 3, 1"
4,"...Много я в жизни претерпел разных ролей и ничего не нашел; рад, что семейство не помрет с голоду, -- но и на этот спокой я уже впоследствии только согласился, то есть со взглядами мыслящих в большинстве: ""не та честь, которая честна, а та, которая в <b><i>кармане</i></b> видна"".",Быстро сую недописанное письмо в <b><i>карман</i></b> и пулей лечу чистить сапоги.,4,"4,2,1"
2,"Громадный, чудный вокзал со стеклянной <b><i>крышей</i></b> не имел больше парадного вида: народу было мало, и только военные.","Начинаются оттепели, ростепели, капели с <b><i>крыш</i></b>.",1,"4,4,4"
1,"Грязь да болото, хоть стучи себе там по ночам, когда мертвецы встают, в гробовую <b><i>крышу</i></b>: ""Пустите, добрые люди, на свет пожить!","И верно, опять сорвался дождь, застучал по <b><i>крыше</i></b>, но Воронцов, завернутый в плащ-палатку, ничего не видел и не слышал, он толковал свое.",4,"1,1,1"
1,"Вороны и сороки, подбирая зерна, жались около <b><i>крыш</i></b> и перепархивали с места на место.","В конструкции появляется новый элемент -- кормовая секция, которая одновременно служит <b><i>крышей</i></b> над люлькой-лодкой в сухопутном варианте.",1,3 4 4
2,"Но прежде всего, ввиду того, что, как мне известно, здесь есть много лиц, сочувствующих <b><i>лечению</i></b> гомеопатией, я прошу отнестись к тому, что я говорю, как к тому, что мной руководят мотивы исключительно научного свойства.","Что же касается санаторного <b><i>лечения</i></b>, то уже сейчас профкомы вправе выдавать путевки в санаторий супругам, даже если один из них работает на другом предприятии, а с 1990 года предполагается выделять ежегодно не менее 120 тысяч семейных путевок в санатории и лечебные пансионаты как для супружеских пар, так и для родителей с детьми.",1,4 4 4
3,Первый сезон лиманного <b><i>лечения</i></b> в этом году считается дачевладельцами проигранным из-за погоды.,"Психиатр обязан разрабатывать психогигиенические проблемы, если не хочет ограничиться только <b><i>лечением</i></b> и должен работать в этих областях рука об руку с общественным деятелем, с невропатологом, интернистом и гигиенистом вообще.",1,"2,4,3"
1,В этом заключается способ <b><i>лечения</i></b> перевоспитанием.,"<b><i>Лечение</i></b> туберкулеза на Колыме тяжело -- там болото, топи, а не целебные горы -- как расписывали в тридцатые годы, оказались враждебными для легочных больных -- разрушительны.",4,4 3 1
1,"Затем, спустя некоторое время, в <b><i>линейках</i></b>, на лихих тройках вереницей подъезжали к этим островам гости Зарежского.","Но, при помощи <b><i>линейки</i></b>, он принуждал их расцепиться: просто чертил их заново, параллельно друг дружке, и чувствовал при этом, что там, в бесконечности, где он заставил наклонную соскочить, произошла немыслимая катастрофа, неизъяснимое чудо, и он подолгу замирал на этих небесах, где сходят с ума земные линии.",1,4 4 4
1,"-- За рубль с четвертью садитесь, -- откликается борода лопатой с <b><i>линейки</i></b>.","-- Я просто хотел попробовать, можно ли этой <b><i>линейкой</i></b> кого-нибудь стукнуть.",1,4 4 4
2,"Ни от <b><i>линейки</i></b> учителя, ни от бровей директора никогда в жизни не стучало так сердце Обломова, как теперь.","Лопнуло ее стекло -- чуть повыше середины, ровно, как по <b><i>линейке</i></b>.",1,4 3 3
3,Однажды состоялась прогулка в большой <b><i>линейке</i></b> по лесным дачам.,"Ночь в поле, двигаемся с <b><i>линейкой</i></b> в Броды.",4,4 4 1
4,"Унять было невозможно, по крайней мере в ту минуту, и -- вдруг окончательная катастрофа как бомба разразилась над собранием и треснула среди его: третий чтец, тот <b><i>маньяк</i></b>, который все махал кулаком за кулисами, вдруг выбежал на сцену.","Не надо было быть балетным <b><i>маньяком</i></b>, чтобы понять, что балериной эта особа никогда не будет.",4,1 2 2
4,"Я заранее был уверен, что Вы во всяком случае не посоветуете мне насиловать свою природу, жить в среде, сделавшейся мне антипатичной, оставаться в таком положении, которое поневоле делает меня праздным, бессмысленно проводящим жизнь <b><i>маньяком</i></b>.","Кроме того -- в десятый раз, -- зачем ему было это делать Оставалось предположение, вероятнее всего почти абсурдное, но которое все-таки нельзя было отбрасывать с совершенной уверенностью, что Павел Александрович стал жертвой какого-то <b><i>маньяка</i></b>.",4,2 2 2
4,"Напротив, если духовное равновесие разрушено совершенно, если человек, как бесноватый, одержим одною дикою страстью и ко всему другому восприимчивость в нем потухла, -- он или <b><i>маньяк</i></b>, которого надо лечить, или воплощенный дьявол, для которого все человеческое кончено.","Любое слово, любой жест истолковывается с железной логикой <b><i>маньяка</i></b> как направленный к моему уничтожению.",4,3 3 1
1,"А кто опять виноват в Кармазинове Навязывал я вам его или нет Участвовал в его обожании или нет Ну, да черт с ним, а вот третий <b><i>маньяк</i></b>, политический, ну это другая статья.",Напущу-ка я на них гангстера и <b><i>маньяка</i></b>.,4,3 3 1
1,"Я и не отрицаю, что такие <b><i>монстры</i></b> действительно существуют, но отрицаю, чтоб их можно было считать представителями сороковых годов.","Можно предположить, что вмерзшие в сибирскую мерзлоту туши этих <b><i>монстров</i></b> видел кто-то из путешественников или торговцев мамонтовой костью и сообщил об этом любознательному ученому.",4,1 1 2
3,"Если б я хотел присылать к тебе человеческия <b><i>монстры</i></b> не по виду тела, а по уродливым нравам, места б у тебя было для них мало.","<b><i>Монстр</i></b> с чубиком пришел, оказывается, бриться.",4,3 3 1
3,"Сначала учитель, не очень грамотный человек, приехавший в школу потому, собственно, что есть ему было решительно нечего, отказался принять ""в ученье"" такого <b><i>монстра</i></b> и с хохотом выпроводил его за дверь, когда последний выразил свое намерение ""почитаться"".","-- Сонный чиновный <b><i>монстр</i></b>, без конца и начала.",4,4 1 3
1,"Сувенирчик вместе с Клеточкиным ездил летом на Щучье озеро ловить бреднем раков и жерихов, а зимой, на святках, неизменно танцевал визави в кадрили-<b><i>монстр</i></b> на вечеринках, отчаянно дирижируя при этом: -- Сильвупле, кавалеры, направо, сильвупле, мадмуазель, налево!..","<b><i>Монстр</i></b> завозился, зарычал и, гремя цепями, впился в мясо и стал отрывать зубами кровавые куски.",4,1 1 1
1,Карев присел к столу и стал чистить водяниковую <b><i>наволочку</i></b> картошки.,"Вместе с картошкой появилась на свет и грязная, замусоленная <b><i>наволочка</i></b>.",4,1 1 1
3,"На кровати лежали шелковые зеленые, сильно выцветшие одеяло и <b><i>наволочки</i></b>, с вышитыми золотом орлами.","<b><i>Наволочка</i></b> с правой стороны в еще непросохших слезах: покидать жизнь веселую и трудную, оставлять обширную державу в бессильных руках злосчастного, черт его возьми, племянника было тяжело государыне сверх меры.",1,4 4 4
4,"Вот тут, на этой батистовой <b><i>наволочке</i></b>, покоилась ее голова.","Абсурдность двух первых вариантов оговора совершенно ясна: ведь тогда Косов механически подтверждал бессмысленные показания Сажина о том, что они познакомились в августе 1945 г., тогда как <b><i>наволочки</i></b> были отпущены за полгода до того.",1,1 2 4
1,"Тогда как Москва прикрепляла к себе Новгород <b><i>наложением</i></b> на него дани, на западе отнимали у Москвы власть над Смоленском.",<b><i>Наложение</i></b> при этом разного рода гравитационных полей и вызывает на Земле всевозможные катаклизмы.,4,1 1 1
1,"Теперь же все сии пособия пресеклись, а сверх того, республиканские крейсеры разъезжают подле самых портов и перехватывают идущие в них и из них суда, отчего приходящие из Европы купцы стараются вознаградить потерю свою <b><i>наложением</i></b> на товары превысоких цен.",Пилки помещают в полиэтиленовую трубку и замуровывают при <b><i>наложении</i></b> повязки.,4,1 1 1
1,"Через месяц Митька уже был бит на площади кнутом и, по <b><i>наложении</i></b> клейм, отправлен в Сибирь в числе прочих сущих воров и разбойников.","В то время я платил шерифу по 5 долларов в день, чтобы как-то отсрочить <b><i>наложение</i></b> ареста на мою маленькую мастерскую.",4,1 1 3
1,Злополучный иеромонах был вытащен из <b><i>огня</i></b> со слабыми признаками жизни.,Ночью немцы обрушили на наше расположение массированный артиллерийский <b><i>огонь</i></b>.,4,1 1 1
1,"Привязав собак вокруг шалаша и обезопасив тем себя от внезапного нападения медведей, мы развели <b><i>огонь</i></b>, сварили ужин и провели ночь весьма хорошо.","И если Маршак и Чуковский выведены были из-под <b><i>огня</i></b>, то это не заслуга Союза.",4,1 1 1
1,"Огромный темный купол, отражая зарево <b><i>огней</i></b>, в невероятном просторе уходил над головой.","Полтабуретка зарычала, глазки ее загорелись скандальным <b><i>огнем</i></b>.",4,1 1 3
3,"Я не берусь описывать шума, который раздался в зале вслед за открытием: это превосходит все <b><i>риторики</i></b> сего и того света.","Шекспир в молодости отдал дань и пышной <b><i>риторике</i></b> ""Тамерлана"" Марло и неистовым словоизвержениям Томаса Нэша, ""кузнеца громовых слов"" (the thundersmith of terms).",1,4 4 4
4,"-- Не разводи <b><i>риторики</i></b>! -- холодно прервал его последний, -- докладывай дело без украшений, ясно, просто, по пунктам.","Отрицается классификация литературных жанров, канонизированная учебниками <b><i>риторики</i></b>",1,3 2 3
3,"Как в скандинавской литературе уже в XIII веке к эпическому материалу мифологических преданий присоединилось руководство к искусственной поэзии в так называемой ""Новой эдде"" Снорри Стурлусона, так и поэты романских племен подчинили свое воображение <b><i>риторике</i></b> и пиитике в руководствах, известных под именем ""Веселой науки"" (Gay Saber), которая вполне соответствует скандинавской ""Скальде"", такому же пиитическому руководству.","Еще раз прикосновение к тайне Церкви, и это не <b><i>риторика</i></b>, не преувеличение.",4,1 1 3
3,"Здсь то, сказалъ я, есть согласе всего различнаго, слдовательно и самое большее <b><i>совершенство</i></b>.","""Дальний переход, предстоящий вашему сиятельству, от Англии до Архипелага, представляет вам средства довести эскадру, высочайше вам вверенную, состоящую по большей части из людей неопытных, до должного <b><i>совершенства</i></b>, по всем частям морской службы, экзерцициями и строгою военною дисциплиною.",1,1 1 1
4,"Но существование общества зависит не от <b><i>совершенства</i></b> некоторых, а от безопасности всех.","Мы были молоды, и западная литература привлекала нас изяществом, спокойствием и <b><i>совершенством</i></b> рисунка.",1,4 4 4
2,"Те же члены церквей, которые лично достигали тогда <b><i>совершенства</i></b>, уже не имели и не могли иметь рабов, потому что таковые обращались в братьев, а брат, воистину брат, не может иметь своего брата у себя рабом.","Потому что первая любовь -- девичья ли, юношеская ли -- всегда с замечательной наивностью подходит к возможному избраннику, ожидая от него красоты и <b><i>совершенства</i></b> во всем и прежде всего во внешности.",1,4 4 3
1,"-- Иван Федорович это был доктор, ее доктор, <b><i>советчик</i></b>.","По секретным сведениям, треть валюты идет к <b><i>советчикам</i></b> через Крым.",4,2 1 1
3,"Эта услуга, в связи с привычкой, сделало то, что Сидорыч стал необходимым для князя человеком, поверенным его сокровенных тайн, даже <b><i>советчиком</i></b>.","А расходы придется платить самим же <b><i>советчикам</i></b>"".",4,2 3 1
4,"-- У вас теперь с собою 40 000 червонцев, -- сказал <b><i>советчик</i></b>, -- берите их и явитесь прямо ко двору.",Испуг -- <b><i>советчик</i></b> плохой.,1,4 4 1
2,"Пуля, рикошетом от <b><i>стены</i></b>, ударила ему в верхнюю треть бедра и засела в глубине, раздробив кость.","Хижина была полна женщин -- юные девушки и старухи сидели вдоль <b><i>стен</i></b>, оживленно переговариваясь.",1,4 4 4
2,"Святыня, вместе с холодным, сырым воздухом, веющим от <b><i>стен</i></b>, обхватила меня; темный лик Спасителя грозно на меня смотрел; толпа праведников двигалась, росла и меня обступила.","Окно, разбитое во время прошлых споров, заделали листом фанеры, стекло лампы было протерто, к щербатой <b><i>стене</i></b> прибили плакат -- ""Прохання не палить"".",1,4 4 4
2,"Когда Их Величества повернули к той стороне <b><i>стены</i></b>, которая ведет к Спасским воротам, на площади уже стояла тысячная толпа, приветствовавшая Царя и Царицу восторженными кликами ""ура"" и бросаньем в воздух шапок.","В конце этого двора у <b><i>стены</i></b> поставлены бочки, на которые наложены доски.",1,4 4 4
1,"Пазульский был приговорен в Одессе к 12 годам, 100 плетям и трем годам прикования к <b><i>тачке</i></b>.","Они с Верой выпорхнули из дверей ""<b><i>тачки</i></b>"" и поплыли в невесомости спортивного зала.",4,1 1 1
2,"Брюхо побежало впереди -- выходило, будто катил его генерал перед собой на <b><i>тачке</i></b>.","Всю жизнь О. М., как каторжник к <b><i>тачке</i></b>, был прикован к писательским организациям и без их санкции не получил ни единого кусочка хлеба.",1,4 3 4
3,"Ребята, с <b><i>тачками</i></b> туда!..","Скотник, насквозь напитанный запахом навозной жижи, тот самый, что не довез своей <b><i>тачки</i></b>, а пошел смеяться с мужиками, когда мужики еще добродушно покуривали на крыльцах людской -- вертел в руках терракотовую копию химеры: -- Ванька, гляди-ка!",4,4 1 4
1,b><i>Увольнение</i></b> учительницы.,"Облачившись в шинель и приладив башлык и пояс, я ""явился"" к заведующему командой и отрапортовал: -- Вольноопределяющийся Вишняк является для <b><i>увольнения</i></b> в отпуск.",4,1 1 1
1,"Рабочие всех мастерских старого Путиловского завода, узнав об этом факте, потребовали от директора завода немедленного <b><i>увольнения</i></b> Вейнберга.","-- Вчера, когда вы вернулись из <b><i>увольнения</i></b>, вы назвали сержанта лжецом -- Да, сэр!",4,1 1 1
1,"С почти детскою жадностью расспрашивал он об <b><i>увольнениях</i></b>, перемещениях, определениях, о слухах и предположениях, но молодой генерал на все вопросы отвечал нехотя, сквозь зубы.","Это нормально Перестройка -- это не только сокращение штатов и <b><i>увольнения</i></b>, но и сострадание, чуткое отношение к людям.",4,1 3 1
4,"В пользу такого взгляда -- и против мнения Шнейдера, нашедшего возможным предположить в диамилене замкнутую группировку углеродных паев, -- говорит и то обстоятельство, что <b><i>углеводороды</i></b>, заключающие ароматическое ядро, т. е. такие, где присутствие так называемой замкнутой группировки несомненно, -- оказываются, по опытам Вредена, неспособными к прямому присоединению.","Здесь Демьянов знакомится с проф. Г. Г. Густавсоном, широко известным своими превосходными исследованиями в области бромирования ароматических <b><i>углеводородов</i></b> в присутствии бромистого алюминия.",4,4 3 2
4,"1) 0,2945 гр. сухого <b><i>углеводорода</i></b> при осторожном насыщении бромом до появления желтого цвета дали 0,6625 гр. бромюра.",В самом начале обширных исследований А. Е. Фаворского в области непредельных <b><i>углеводородов</i></b> и явлений изомеризации у него появились ученики.,4,3 3 3
2,"Сочетая в своем бытии несомненные черты ""степного"" (""азиатского"" par exellence) <b><i>уклада</i></b> со столь же определенным приближением к характеру культур западного ""окраинно-приморского"" мира, Россия такой, как она есть сейчас, является, в смысле территориальном, комбинацией областей, воспроизводящих географическую природу некоторых западноевропейских районов с простором стран, по характеру, существенно ""вне-европейских"".",Внутренний <b><i>уклад</i></b> в этом доме напоминает порядки монастырских гостиниц.,1,4 4 2
4,"Это жертва не моя, а всего <b><i>уклада</i></b> жизни!..","Там, верно, рукомойники в сенях, пахнет кухней, мокрые дрова возле печек -- убогий, нелюбимый мною, дачный зимний <b><i>уклад</i></b>.",1,2 4 3
4,"Для мировоззрения, не приемлющего теорий исторического материализма, очевидна возможность существования при тождественном техническом строе разных общественных <b><i>укладов</i></b> и разных идеологий.",Описанная психология типичного тюрка определяет собой и жизненный <b><i>уклад</i></b> и миросозерцание носителей этой психологии,4,3 2 4
1,"Общий <b><i>фаворит</i></b> Николас оскандалился и гонку выиграл Брод в 9 ч. 32 м., Николас -- вторым.","Его дядя, граф Лейстер, был <b><i>фаворитом</i></b> Елизаветы; ее первый министр, лорд Берли, был другом сиднеевой семьи.",4,1 1 1
1,"<b><i>Фаворит</i></b> принял меня учтиво, выслушал причину моего недоумения и благословил меня ехать, не дожидаясь отпускной аудиенции.","Проскачку объявляют второму номеру, <b><i>фавориту</i></b>.",4,1 1 3
4,"Это была Венерка, которая оплыла хозяина мимо самого его носа и, легко выскочив на берег, в десять прыжков догнала своего <b><i>фаворита</i></b>.","Неважно, кого он наземь поверг и ногами топтал с громкими криками и поношениями, важно лишь, что оказал тем самым неуважение <b><i>фавориту</i></b> Анны Иоанновны.",4,3 2 1
1,"-- Вы сами, разливаете чай, -- сказала восторженно Мария Львовна, -- как это мило, вы, верно, отличная <b><i>хозяйка</i></b>, -- да Николай смотрел мрачно и кусал губы -- я поскорее ушла.","Приходит <b><i>хозяйка</i></b> и спрашивает: -- Что с вами, Марья Петровна А она говорит: -- У меня девочки потерялись.",4,1 2 3
4,"Есть ли в ее письмах хоть тень упрека, хоть нота недовольства Нет, не могла рабой чувствовать себя Александра Егоровна: муж ни в чем ее не стеснял, она была полной <b><i>хозяйкой</i></b>, и за мужем ей жилось куда веселее и привольнее, чем прежде.","Некоторое время продолжалось еще это хоровое исполнение частушек, к которым я прислушивался с интересом, пока <b><i>хозяйка</i></b> не кликнула меня через сени пить чай в боковушу.",1,4 4 1
3,Он прежде жил где-то на хлебах у <b><i>хозяйки</i></b> и занимал небольшой уголок.,"-- Без тебя не можем, ты <b><i>хозяйка</i></b>.",4,1 3 3
4,"Образ Монны Лизы получает жизнь, живет еще однажды своей телесной жизнью и является такой, какой она некогда была умной тосканской <b><i>хозяйкой</i></b>, которая больше занимается домашними чисто личными обстоятельствами, чем чувством любви, которое она будит в груди стареющего Леонардо да-Винчи.","Маршал вспомнил, как перед уходом из деревни он и его приятели копотью от свечи вывели на потолке имя красавицы -- <b><i>хозяйки</i></b> этой таверны, -- увы, от этой надписи не осталось и следа.",4,3 1 3
1,"Должно заметить, что даже папская <b><i>цензура</i></b> позволяет сии выражения, чему служит доказательством нынешняя итальянская поэзия.","Но у него разгорелись глаза -- это не его были глаза, а вставленные подменённые глаза от <b><i>цензуры</i></b>, и ноздри были не его, а снаряжённые нюхательными волосочками <b><i>цензуры</i></b> -- и он уверенно радостно выкусил клок: -- Вот!",4,1 1 1
4,"Духовенство, <b><i>цензура</i></b>, полиция, сам король -- заботились совокупно о том, чтобы содержать народ в строжайшем порядке и чистейшей нравственности.","В одном из писем к Е. М. Ш., рассказы которой Чехов исправлял, шлифовал и рассылал по редакциям очень усердно, Чехов поминает обо мне и говорит, что я ""тоже прошел через его <b><i>цензуру</i></b>"".",2,4 4 3
1,"Мои путевые заметки, конечно, могут быть интересны, но сами вы можете судить по письмам, что все новое и оригинальное в них не может пройти через <b><i>цензуру</i></b>.","Этот Ахеронт, под которым разумелись революционизированные народные массы, был тогда в большом употреблении, чтобы не вызывать излишнего внимания <b><i>цензуры</i></b>.",4,4 1 3
3,И тут же собственноручно переправил на листе <b><i>цифру</i></b> 15 на 25.,"<b><i>Цифры</i></b> звучали, какъ могущественная, торжествующая симфонiя класса создателя, какъ побдный гимнъ ""соцiалистической Россiи, возникающей по завту Ленина..""",1,4 4 4
4,"Я боюсь приводить ряд <b><i>цифр</i></b>, да в этом сейчас и нет нужды, моя задача поставить лишь общие вехи, лишь общие положения, ибо в настоящее время я твердо убежден, что ничего, кроме общих положений выставить нельзя.","Все мои встречи отмечены числами, в которых есть <b><i>цифра</i></b> 7.",1,4 4 4
2,-- Эти <b><i>цифры</i></b> собственно апокалипсические! -- перебил gnadige Frau Егор Егорыч.,"Документъ -- лучшй свидтель и <b><i>цифры</i></b>, -- лучшй языкъ.",1,4 3 4
1,"Полковник покорился судьбе, но впал в <b><i>амбицию</i></b>: месяц беспробудно пил и от роты осталось чуть более половины.","То, что позволяет ей проявиться более отчетливо -- именно противоречие между <b><i>амбициями</i></b> блокбастера и образом-временем, не позволяющим их воплотить в жизнь до конца.",4,1 1 4
